import time: self [us] | cumulative | imported package
import time:       451 |        451 |     streamlit.elements.widgets.select_slider
import time:       245 |        245 |     streamlit.elements.widgets.selectbox
import time:       882 |        882 |     streamlit.elements.widgets.slider
import time:       714 |        714 |     streamlit.elements.widgets.text_widgets
import time:      1164 |       1164 |     streamlit.elements.widgets.time_widgets
import time:       250 |        250 |     streamlit.elements.write
import time:       718 |     181337 |   streamlit.delta_generator
import time:       454 |        454 |   streamlit.elements.lib.mutable_status_container
import time:       329 |        329 |   streamlit.elements.lib.dialog
import time:       153 |        153 |   streamlit.elements.dialog_decorator
import time:       197 |        197 |       streamlit.connections.base_connection
import time:       200 |        200 |         streamlit.connections.util
import time:       206 |        406 |       streamlit.connections.snowflake_connection
import time:       233 |        233 |       streamlit.connections.snowpark_connection
import time:       288 |        288 |       streamlit.connections.sql_connection
import time:       339 |       1460 |     streamlit.connections
import time:       355 |       1814 |   streamlit.runtime.connection_factory
import time:        94 |         94 |     streamlit.runtime.context_util
import time:       451 |        544 |   streamlit.runtime.context
import time:       254 |        254 |     streamlit.auth_util
import time:       219 |        472 |   streamlit.user_info
import time:       204 |        204 |     streamlit.commands
import time:       177 |        380 |   streamlit.commands.experimental_query_params
import time:        91 |         91 |   streamlit.column_config
import time:       167 |        167 |   streamlit.commands.echo
import time:       126 |        126 |   streamlit.commands.logo
import time:       274 |        274 |   streamlit.commands.navigation
import time:       287 |        287 |   streamlit.commands.page_config
import time:       142 |        142 |   streamlit.commands.execution_control
import time:       269 |        269 |         streamlit.components.types.base_custom_component
import time:       293 |        561 |       streamlit.components.v1.custom_component
import time:       158 |        718 |     streamlit.components.v1.component_registry
import time:       354 |       1072 |   streamlit.components.v1
import time:       865 |     278969 | streamlit
import time:       369 |        369 |   core
import time:       442 |        810 | core.cache_manager
import time:        99 |         99 |   guardian
import time: 228787158 |  228787257 | guardian.guardian_v6
object address  : 0x123a6b880
object refcount : 3
object type     : 0x1019ce4d8
object type name: KeyboardInterrupt
object repr     : KeyboardInterrupt()
lost sys.stderr
