import time: self [us] | cumulative | imported package
import time:        92 |         92 |                 google.protobuf.internal.python_edition_defaults
import time:       290 |        290 |                     encodings.raw_unicode_escape
import time:       185 |        185 |                     encodings.unicode_escape
import time:       478 |        478 |                       numbers
import time:       405 |        405 |                           _compat_pickle
import time:       704 |        704 |                           _pickle
import time:       701 |       1810 |                         pickle
import time:       748 |       2557 |                       google.protobuf.internal.containers
import time:       306 |        306 |                         google.protobuf.internal.wire_format
import time:       432 |        738 |                       google.protobuf.internal.encoder
import time:      1752 |       5523 |                     google.protobuf.internal.decoder
import time:       376 |        376 |                     google.protobuf.internal.type_checkers
import time:       428 |        428 |                     google.protobuf.unknown_fields
import time:      1019 |       7820 |                   google.protobuf.text_format
import time:       317 |        317 |                   google.protobuf.internal.extension_dict
import time:       105 |        105 |                   google.protobuf.internal.message_listener
import time:       260 |        260 |                     google.protobuf.internal.field_mask
import time:       393 |        653 |                   google.protobuf.internal.well_known_types
import time:       522 |       9413 |                 google.protobuf.internal.python_message
import time:       418 |      10579 |               google.protobuf.descriptor_pool
import time:        97 |         97 |                   google.protobuf.pyext
import time:       136 |        136 |                   google.protobuf.pyext.cpp_message
import time:       227 |        459 |                 google.protobuf.message_factory
import time:       119 |        577 |               google.protobuf.symbol_database
import time:        85 |         85 |                 google.protobuf.reflection
import time:       100 |        184 |               google.protobuf.internal.builder
import time:       872 |      17143 |             streamlit.proto.RootContainer_pb2
import time:       386 |      18038 |           streamlit.util
import time:       892 |      18930 |         streamlit.errors
import time:       388 |      22908 |       streamlit.cli_util
import time:       399 |        399 |       streamlit.url_util
import time:      1345 |       1345 |             _decimal
import time:       178 |       1523 |           decimal
import time:       927 |        927 |           fractions
import time:       394 |       2843 |         streamlit.string_util
import time:       245 |       3088 |       streamlit.config_option
import time:       335 |        335 |           streamlit.elements
import time:       384 |        718 |         streamlit.elements.lib
import time:       388 |       1106 |       streamlit.elements.lib.color_util
import time:       496 |      49208 |     streamlit.config_util
import time:        88 |         88 |     streamlit.development
import time:       133 |        133 |     streamlit.file_util
import time:      1784 |      67080 |   streamlit.config
import time:       184 |        184 |   streamlit.deprecation_util
import time:       632 |        632 |         _csv
import time:       410 |       1041 |       csv
import time:       204 |        204 |           zipfile._path.glob
import time:       524 |        727 |         zipfile._path
import time:      1027 |       1753 |       zipfile
import time:       206 |        206 |           importlib.metadata._functools
import time:      1097 |       1302 |         importlib.metadata._text
import time:       298 |       1600 |       importlib.metadata._adapters
import time:       783 |        783 |       importlib.metadata._meta
import time:       274 |        274 |       importlib.metadata._collections
import time:       887 |        887 |       importlib.metadata._itertools
import time:       265 |        265 |             importlib.resources.abc
import time:       784 |        784 |             importlib.resources._adapters
import time:       495 |       1544 |           importlib.resources._common
import time:       276 |        276 |           importlib.resources._legacy
import time:       211 |       2029 |         importlib.resources
import time:       354 |       2382 |       importlib.abc
import time:       921 |       9638 |     importlib.metadata
import time:      1554 |      11191 |   streamlit.version
import time:       795 |        795 |       _contextvars
import time:       216 |       1011 |     contextvars
import time:       304 |       1314 |   streamlit.delta_generator_singletons
import time:       181 |        181 |                     concurrent
import time:       620 |        620 |                     concurrent.futures._base
import time:       427 |       1228 |                   concurrent.futures
import time:       916 |        916 |                     _heapq
import time:       312 |       1227 |                   heapq
import time:       277 |        277 |                   asyncio.constants
import time:       203 |        203 |                   asyncio.coroutines
import time:       214 |        214 |                     asyncio.format_helpers
import time:       103 |        103 |                       asyncio.base_futures
import time:       140 |        140 |                       asyncio.exceptions
import time:       206 |        206 |                       asyncio.base_tasks
import time:       721 |       1169 |                     _asyncio
import time:       709 |       2091 |                   asyncio.events
import time:       314 |        314 |                   asyncio.futures
import time:       233 |        233 |                   asyncio.protocols
import time:       294 |        294 |                     asyncio.transports
import time:       108 |        108 |                     asyncio.log
import time:       630 |       1031 |                   asyncio.sslproto
import time:        90 |         90 |                       asyncio.mixins
import time:       389 |        479 |                     asyncio.locks
import time:       370 |        370 |                       asyncio.timeouts
import time:       386 |        756 |                     asyncio.tasks
import time:       367 |       1600 |                   asyncio.staggered
import time:       224 |        224 |                   asyncio.trsock
import time:       819 |       9242 |                 asyncio.base_events
import time:       491 |        491 |                 asyncio.runners
import time:       257 |        257 |                 asyncio.queues
import time:      1078 |       1078 |                 asyncio.streams
import time:       171 |        171 |                 asyncio.subprocess
import time:       127 |        127 |                 asyncio.taskgroups
import time:        85 |         85 |                 asyncio.threads
import time:       284 |        284 |                   asyncio.base_subprocess
import time:       523 |        523 |                   asyncio.selector_events
import time:       605 |       1411 |                 asyncio.unix_events
import time:       283 |      13142 |               asyncio
import time:       379 |        379 |                   streamlit.components
import time:       258 |        636 |                 streamlit.components.lib
import time:       323 |        323 |                   streamlit.components.types
import time:       365 |        687 |                 streamlit.components.types.base_component_registry
import time:      1249 |       2571 |               streamlit.components.lib.local_component_registry
import time:       318 |        318 |                     streamlit.components.v2.component_path_utils
import time:       899 |        899 |                     streamlit.components.v2.component_registry
import time:       271 |       1487 |                   streamlit.components.v2.component_definition_resolver
import time:       311 |        311 |                   streamlit.components.v2.get_bidi_component_manager
import time:       320 |       2117 |                 streamlit.components.v2
import time:       281 |        281 |                 streamlit.components.v2.component_file_watcher
import time:       220 |        220 |                 streamlit.components.v2.component_manifest_handler
import time:       538 |       3155 |               streamlit.components.v2.component_manager
import time:       339 |        339 |                 streamlit.proto.AutoRerun_pb2
import time:       404 |        404 |                 streamlit.proto.Common_pb2
import time:       308 |        308 |                     streamlit.proto.WidthConfig_pb2
import time:       310 |        310 |                     streamlit.proto.HeightConfig_pb2
import time:       197 |        197 |                     streamlit.proto.GapSize_pb2
import time:       371 |       1185 |                   streamlit.proto.Block_pb2
import time:       108 |        108 |                     streamlit.proto.Alert_pb2
import time:       226 |        226 |                     streamlit.proto.Arrow_pb2
import time:       274 |        274 |                     streamlit.proto.Audio_pb2
import time:        98 |         98 |                       streamlit.proto.LabelVisibilityMessage_pb2
import time:       103 |        201 |                     streamlit.proto.AudioInput_pb2
import time:        96 |         96 |                     streamlit.proto.Balloons_pb2
import time:        91 |         91 |                       streamlit.proto.ArrowNamedDataSet_pb2
import time:       102 |        193 |                     streamlit.proto.ArrowVegaLiteChart_pb2
import time:        91 |         91 |                     streamlit.proto.BokehChart_pb2
